Site Name	Total Number of Walkers	Walker Rate	Species	Flock Size	SD	AD	Response Distance	Towards/ Away	Seperation Distance	On Shore/In Water	Distance from Edge
ST KILDA BOTANICAL Gardens	31	74.4	Pacfic Black Duck	3	24	24	24	Towards	5	In Water	3
ST KILDA BOTANICAL Gardens	31	74.4	Pacfic Black Duck	2	26	26	26	Towards	1.5	On Shore	2
ST LEONARDS Lake	18	18	Pacfic Black Duck	1	17	11	7	Both	3	On Shore	5
STATION Waters	27	40.5	Pacfic Black Duck	6	46	45	45	Towards	6	In Water	10
STATION Waters	27	40.5	Pacfic Black Duck	2	51	49	49	Towards	4	In Water	38
STATION Waters	27	40.5	Pacfic Black Duck	2	86	85	85	Towards	2	On Margin	0.2
SUTTON Lake	47	29.68421053	Pacfic Black Duck	2	6	6	5	Away	5	On Shore	0.5
SUTTON Lake	47	29.68421053	Pacfic Black Duck	2	12	10	7	Away	7	On Shore	0.5
SUTTON Lake	47	29.68421053	Pacfic Black Duck	3	43	21	7	Both	7	On Shore	2
SUTTON Lake	47	29.68421053	Pacfic Black Duck	1	13	10	9	Away	9	On Shore	0.5
SUTTON Lake	47	29.68421053	Pacfic Black Duck	3	34	12	9	Away	9	On Shore	0.5
TATTERSON Lake	29	18.31578947	Pacfic Black Duck	2	60	5	5	Towards	4	In Water	5
TATTERSON Lake	29	18.31578947	Pacfic Black Duck	2	25	25	25	Towards	12	In Water	17
TATTERSON Lake	29	18.31578947	Pacfic Black Duck	1	30	30	30	Towards	12	In Water	1
TAYLORS Lakes	36	24	Pacfic Black Duck	3	34	31	31	Towards	8	In Water	28
TAYLORS Lakes	36	24	Pacfic Black Duck	2	77	76	76	Towards	3	On Shore	1
THE BRIARS Historical Park	0	0	Pacfic Black Duck	2	35	35	22	Away	22	In Water	25
TIRHARUAN Lake	26	31.2	Pacfic Black Duck	9	34	21	7	Away	7	On Shore	30
TIRHARUAN Lake	26	31.2	Pacfic Black Duck	1	27	23	17	Away	17	On Shore	25
TIRHARUAN Lake	26	31.2	Pacfic Black Duck	4	29	29	29	Towards	4	In Water	1
TROUPS CREEK Wetlands	5	2.4	Pacfic Black Duck	2	92	92	74	Away	74	In Water	65
TROUPS CREEK Wetlands (North)	16	16	Pacfic Black Duck	3	51	27	19	Towards	14	In Water	22
WATERDEGE WAY Lake	13	26	Pacfic Black Duck	3	32	32	32	Towards	6	In Water	26
WATERDEGE WAY Lake	13	26	Pacfic Black Duck	8	52	52	52	Towards	6	In Water	47
WENDOUREE Lake	131	87.33333333	Pacfic Black Duck	2	19	7	7	Towards	4	In Water	2
WENDOUREE Lake	131	87.33333333	Pacfic Black Duck	1	28	19	15	Away	15	On Shore	1
WENDOUREE Lake	131	87.33333333	Pacfic Black Duck	5	36	34	30	Towards	5	In Water	3
WESTERN TREATMENT PLANT (Borrie)	0	0	Pacfic Black Duck	4	98	96	85	Away	85	In Water	70
WESTERN TREATMENT PLANT (Mid)	0	0	Pacfic Black Duck	3	127	127	127	Away	127	In Water	10
WESTERN TREATMENT PLANT (North)	0	0	Pacfic Black Duck	1	66	65	60	Away	60	In Water	42
WESTERN TREATMENT PLANT (North)	0	0	Pacfic Black Duck	8	100	94	93	Away	93	In Water	15
WESTERN TREATMENT PLANT (North)	0	0	Pacfic Black Duck	16	162	162	114	Away	114	On Shore	1
YAMMERBOOK NATURE Reserve	0.8	2.4	Pacfic Black Duck	2	19	16	16	Both	14.5	In Water	4
ALBERT Park	79	30.58064516	Purple Swamphen	2	39	8	2	Both	1	In Water	0.5
ALBERT Park	79	30.58064516	Purple Swamphen	3	30	26	22	Towards	4	On Shore	12
ALBERT Park	79	30.58064516	Purple Swamphen	3	46	43	37	Towards	0	On Shore	10
BEGOLA Wetlands	5	7.692307692	Purple Swamphen	3	38	8	3	Away	3	On Shore	12
BERWICK Springs	44	25.14285714	Purple Swamphen	2	36	27	13	Away	13	On Shore	14
BERWICK Springs	44	25.14285714	Purple Swamphen	5	33	32	26	Away	26	On Shore	12
BERWICK Springs	44	25.14285714	Purple Swamphen	4	40	38	31	Away	31	On Shore	6
BLUE WATERS Lake	30	17.14285714	Purple Swamphen	1	43	21	10	Towards	3	On Shore	8
BLUE WATERS Lake	30	17.14285714	Purple Swamphen	1	31	24	12	Away	12	On Shore	0.5
BLUE WATERS Lake	30	17.14285714	Purple Swamphen	1	56	27	23	Towards	2	On Shore	2
BLUE WATERS Lake	30	17.14285714	Purple Swamphen	1	37	37	25	Away	25	On Shore	2
BRODIES Lakes	0	0	Purple Swamphen	3	39	39	39	Towards	7	On Shore	16
BRODIES Lakes	0	0	Purple Swamphen	3	65	62	54	Away	54	On Shore	36
BUNDRAP Park	34	27.2	Purple Swamphen	1	36	36	36	Towards	7	On Margin	0.2
CAIRNLEA Lake	33	36	Purple Swamphen	1	32	23	4	Away	4	In Water	2
CANDLEBARK Walk	18	19.63636364	Purple Swamphen	1	11	11	11	Towards	4	In Water	3
CANDLEBARK Walk	18	19.63636364	Purple Swamphen	3	74	55	23	Both	3	On Shore	4
CARDINA Lake	11	14.66666667	Purple Swamphen	2	49	47	24	Away	24	On Shore	25
CARDINA Lake	11	14.66666667	Purple Swamphen	2	65	64	37	Away	37	On Shore	20
CAROLINE Lake	73	58.4	Purple Swamphen	1	6	6	4	Towards	2	In Water	4
CARRIBBEAN Lake	0	0	Purple Swamphen	3	29	21	16	Away	16	In Water	3
CARRIBBEAN Lake	0	0	Purple Swamphen	1	50	41	31	Away	31	On Shore	15
CARRIBBEAN Lake	0	0	Purple Swamphen	6	70	60	51	Away	51	On Shore	25
CHERRY Lake	32	27.42857143	Purple Swamphen	4	42	21	8	Towards	1.5	On Margin	0.2
CHERRY Lake	32	27.42857143	Purple Swamphen	1	29	29	19	Away	19	On Margin	0.2
COLBURG Lake	22	10.56	Purple Swamphen	1	20	15	7	Away	7	On Shore	13
DENYER Reserve	24	36	Purple Swamphen	2	35	19	11	Away	11	On Shore	2
DENYER Reserve	24	36	Purple Swamphen	3	49	41	32	Away	32	In Water	2
DEVILBEND Reservoir (North)	1	0.413793103	Purple Swamphen	4	26	19	14	Away	14	On Shore	0.5
EDWARDES Lake	57	38	Purple Swamphen	2	22	21	10	Away	10	On Shore	0.5
EDWARDES Lake	57	38	Purple Swamphen	5	52	36	14	Towards	2	On Shore	7
EDWARDES Lake	57	38	Purple Swamphen	4	25	25	25	Towards	0.3	On Shore	7
EDWARDES Lake	57	38	Purple Swamphen	2	56	38	28	Away	28	On Shore	5
EMERALD GOLF CLUB Lake	0	0	Purple Swamphen	4	18	18	18	Towards	3	On Shore	7
EMERALD Lake	52	41.6	Purple Swamphen	3	21	13	11	Away	11	In Water	25
EMERALD Lake	52	41.6	Purple Swamphen	3	18	18	18	Towards	3	On Shore	4
EMERALD Lake	52	41.6	Purple Swamphen	1	19	19	19	Towards	9	On Shore	1.5
FROG HOLLOW Reserve	44	26.4	Purple Swamphen	2	28	28	19	Away	19	In Water	6
FROG HOLLOW Reserve	44	26.4	Purple Swamphen	4	80	59	51	Away	51	On Shore	2
FROG HOLLOW Reserve	44	26.4	Purple Swamphen	8	94	89	89	Away	89	On Shore	10
GATEWAY Sanctuary	12	15.65217391	Purple Swamphen	2	24	18	16	Away	16	On Shore	2
GATEWAY Sanctuary	12	15.65217391	Purple Swamphen	8	69	42	23	Towards	8	On Shore	3
GATEWAY Sanctuary	12	15.65217391	Purple Swamphen	2	42	42	34	Away	34	In Water	0.5
HAMPTON PARK Wetlands	31	24.8	Purple Swamphen	2	103	67	45	Away	45	On Shore	10
HUNTERS ROAD Wetland	2	4	Purple Swamphen	1	61	61	61	Towards	6	On Shore	0.5
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Purple Swamphen	3	54	32	30	Away	30	On Shore	15
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Purple Swamphen	2	57	57	48	Away	48	In Water	16
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Purple Swamphen	1	71	66	61	Away	61	On Shore	5
JACK ROPER Reserve	2	4	Purple Swamphen	1	34	20	17	Away	17	On Shore	7
JELLS Park	58	38.66666667	Purple Swamphen	2	14	8	4	Away	4	On Shore	15
JELLS Park	58	38.66666667	Purple Swamphen	1	9	9	9	Towards	2	On Shore	3
JELLS Park	58	38.66666667	Purple Swamphen	1	26	19	13	Away	13	On Shore	23
JELLS Park	58	38.66666667	Purple Swamphen	3	24	24	24	Towards	11	On Shore	10
JONES CREEK Wetland	37	44.4	Purple Swamphen	14	35	34	34	Towards	3	On Shore	8
JONES CREEK Wetland	37	44.4	Purple Swamphen	8	44	35	35	Away	35	On Shore	5
KARRAROCK Park	84	28	Purple Swamphen	1	30	18	6	Away	6	On Shore	10
KARRAROCK Park	84	28	Purple Swamphen	3	39	27	12	Towards	11	On Shore	15
KARRAROCK Park	84	28	Purple Swamphen	4	74	15	12	Away	12	On Shore	23
KARRAROCK Park	84	28	Purple Swamphen	2	49	37	17	Away	17	On Shore	20
KARRAROCK Park	84	28	Purple Swamphen	1	35	30	26	Away	26	On Shore	20
LAKESIDE Lake	118	83.29411765	Purple Swamphen	2	49	18	12	Towards	1	On Shore	7
LAKESIDE Lake	118	83.29411765	Purple Swamphen	4	18	18	18	Towards	1	On Shore	3
LAKESIDE Lake	118	83.29411765	Purple Swamphen	1	20	20	20	Towards	10	On Shore	15
LAKESIDE Lake	118	83.29411765	Purple Swamphen	4	29	29	29	Towards	2	On Margin	0.2
LAKEWOOD Lakes	4	8	Purple Swamphen	1	30	29	24	Away	24	In Water	10
LAKEWOOD Lakes	4	8	Purple Swamphen	3	57	56	29	Away	29	On Shore	4
LAKEWOOD Lakes	4	8	Purple Swamphen	5	37	35	35	Away	35	On Shore	6
LAVERTON Creek (Mouth)	7	12	Purple Swamphen	2	35	27	24	Away	24	In Water	1
LILYDALE Lake	235	108.4615385	Purple Swamphen	1	19	17	6	Away	6	On Shore	5
LILYDALE Lake	235	108.4615385	Purple Swamphen	1	12	9	7	Away	7	On Shore	6
LILYDALE Lake	235	108.4615385	Purple Swamphen	6	23	20	18	Away	18	On Shore	7
LILYDALE Lake	235	108.4615385	Purple Swamphen	2	27	27	18	Away	18	On Shore	6
LILYDALE Lake	235	108.4615385	Purple Swamphen	1	39	38	18	Away	18	On Shore	11
LILYDALE Lake	235	108.4615385	Purple Swamphen	3	25	23	20	Away	20	On Shore	3
LOGAN Lake	58	43.5	Purple Swamphen	4	17	16	14	Towards	2	In Water	5
LOGAN Lake	58	43.5	Purple Swamphen	4	28	28	28	Towards	3	In Water	28
LOGAN Lake	58	43.5	Purple Swamphen	2	28	28	28	Towards	6	On Shore	2
LOGAN Lake	58	43.5	Purple Swamphen	4	44	43	43	Towards	12	On Shore	6
LOGAN Lake	58	43.5	Purple Swamphen	2	44	44	44	Towards	3	On Shore	5
LORNE Lake Reserve	4	3.692307692	Purple Swamphen	1	33	31	14	Away	14	On Shore	6
LORNE Lake Reserve	4	3.692307692	Purple Swamphen	4	59	43	39	Away	39	On Shore	9
LYSTERFEILD Lake	26	19.5	Purple Swamphen	2	22	17	12	Away	12	On Shore	12
LYSTERFEILD Lake	26	19.5	Purple Swamphen	4	31	23	14	Away	14	On Shore	50
LYSTERFEILD Lake	26	19.5	Purple Swamphen	4	28	26	21	Away	21	On Shore	3
MANNA GUM Waters	0	0	Purple Swamphen	1	33	16	10	Away	10	In Water	2
MANNA GUM Waters	0	0	Purple Swamphen	3	18	17	12	Away	12	In Water	3
MANNA GUM Waters	0	0	Purple Swamphen	1	21	20	19	Away	19	On Shore	0.5
McCLOUD'S Waterhole	0	0	Purple Swamphen	3	22	22	9	Away	9	On Shore	4
McCLOUD'S Waterhole	0	0	Purple Swamphen	4	17	15	11	Away	11	In Water	4
MELBOURNE WATER Wetlands	0	0	Purple Swamphen	2	31	31	24	Away	24	On Shore	9
MILLS Park	31	17.71428571	Purple Swamphen	1	15	14	14	Away	14	In Water	0.5
MILLS Park	31	17.71428571	Purple Swamphen	5	36	36	36	Towards	1	On Shore	36
MILLS Park	31	17.71428571	Purple Swamphen	3	46	45	40	Away	40	On Shore	7
MILLS Park	31	17.71428571	Purple Swamphen	2	64	64	64	Towards	4	On Shore	64
NAMATJIRA Lake	34	40.8	Purple Swamphen	1	55	53	8	Away	8	In Water	5
NAMATJIRA Lake	34	40.8	Purple Swamphen	1	22	22	16	Away	16	In Water	6
NARR-MAEN Wetlands	6	7.2	Purple Swamphen	1	35	30	15	Towards	9	In Water	8
NARR-MAEN Wetlands	6	7.2	Purple Swamphen	2	43	39	16	Away	16	On Shore	6
NEWPORT Lakes	46	18.4	Purple Swamphen	1	5	4.5	2	Towards	2	On Margin	0
NEWPORT Lakes	46	18.4	Purple Swamphen	1	8	8	8	Towards	4	On Shore	0.5
NEWPORT Lakes	46	18.4	Purple Swamphen	1	23	23	23	Towards	3	On Shore	0.3
NEWPORT Lakes	46	18.4	Purple Swamphen	1	25	25	25	Towards	2	On Shore	10
NEWPORT Lakes	46	18.4	Purple Swamphen	1	43	37	35	Away	35	On Shore	10
ORNAMENTAL Lake	198	148.5	Purple Swamphen	3	16	14	5	Towards	0.5	On Shore	11
ORNAMENTAL Lake	198	148.5	Purple Swamphen	1	22	21	21	Towards	2	On Shore	5
PABLOO AVENUE Wetland	2	4.8	Purple Swamphen	1	32	14	8	Away	8	In Water	2
PABLOO AVENUE Wetland	2	4.8	Purple Swamphen	1	28	26	26	Away	26	On Shore	3
POINT LONSDALE Reserve	1	2.4	Purple Swamphen	1	11	11	11	Towards	4	In Water	9
POINT LONSDALE Reserve	1	2.4	Purple Swamphen	1	18	17	17	Towards	4	In Water	17
POINT LONSDALE Reserve	1	2.4	Purple Swamphen	1	31	31	27	Away	27	On Shore	2
REEDY Lake	0	0	Purple Swamphen	10	106	32	32	Away	32	In Water	3
REEDY Lake	0	0	Purple Swamphen	6	149	75	75	Away	75	In Water	13
RIFLE RANGE South	5	2.307692308	Purple Swamphen	2	18	16	12	Away	12	On Shore	1
RIFLE RANGE South	5	2.307692308	Purple Swamphen	1	38	29	22	Away	22	On Shore	3
RIFLE RANGE South	5	2.307692308	Purple Swamphen	2	39	39	28	Away	28	On Shore	10
RIFLE RANGE South	5	2.307692308	Purple Swamphen	1	88	64	37	Away	37	On Land	2
RIFLE RANGE South	5	2.307692308	Purple Swamphen	4	73	57	39	Away	39	On Land	10
RINGWOOD Lake	27	32.4	Purple Swamphen	6	7.5	7	3	Away	3	On Shore	1
SANDHURST Lakes	1	1.333333333	Purple Swamphen	1	9	9	7	Away	7	On Shore	3
SANDHURST Lakes	1	1.333333333	Purple Swamphen	1	20	20	20	Towards	5	On Margin	0
SEAFORD Wetlands	2	6	Purple Swamphen	7	24	3	3	Towards	2	On Shore	7
SHANKLAND Reserve	0	0	Purple Swamphen	1	38	37	37	Towards	11	On Shore	7
SHEARWATER Meadow	11	18.85714286	Purple Swamphen	2	24	22	22	Towards	6	On Shore	2
SHEARWATER Meadow	11	18.85714286	Purple Swamphen	2	40	36	36	Towards	4	On Shore	2
ST LEONARDS Lake	18	18	Purple Swamphen	2	31	31	31	Towards	2	On Shore	12
ST LEONARDS Lake	18	18	Purple Swamphen	1	33	33	33	Towards	6	On Shore	23
ST LEONARDS Lake	18	18	Purple Swamphen	1	36	36	36	Towards	6	On Shore	5
STATION Waters	27	40.5	Purple Swamphen	3	67	67	19	Away	19	On Shore	8
STATION Waters	27	40.5	Purple Swamphen	3	27	27	27	Towards	3	On Shore	1
SUTTON Lake	47	29.68421053	Purple Swamphen	2	35	14	3	Away	3	On Shore	7
SUTTON Lake	47	29.68421053	Purple Swamphen	1	12	12	12	Towards	5	On Shore	6
TATTERSON Lake	29	18.31578947	Purple Swamphen	1	40	27	15	Away	15	On Shore	7
TATTERSON Lake	29	18.31578947	Purple Swamphen	1	24	24	18	Away	18	On Shore	2
TATTERSON Lake	29	18.31578947	Purple Swamphen	2	40	40	40	Towards	4	On Shore	10
TAYLORS Lakes	36	24	Purple Swamphen	1	12	9	9	Towards	1	In Water	8
TAYLORS Lakes	36	24	Purple Swamphen	1	29	29	27	Away	27	On Shore	3
TAYLORS Lakes	36	24	Purple Swamphen	2	32	30	30	Towards	6	On Shore	0.5
THE BRIARS Historical Park	0	0	Purple Swamphen	2	19	17	10	Away	7	On Shore	35
THE BRIARS Historical Park	0	0	Purple Swamphen	3	17	15	14	Away	14	On Shore	6
TIRHARUAN Lake	26	31.2	Purple Swamphen	3	30	25	22	Away	22	On Shore	27
TIRHARUAN Lake	26	31.2	Purple Swamphen	2	46	46	46	Towards	5	On Shore	35
TROUPS CREEK Wetlands	5	2.4	Purple Swamphen	3	58	32	20	Away	20	In Water	9
TROUPS CREEK Wetlands	5	2.4	Purple Swamphen	4	138	113	85	Away	75	On Shore	3
TROUPS CREEK Wetlands (North)	16	16	Purple Swamphen	1	53	52	41	Away	41	In Water	6
WATERDEGE WAY Lake	13	26	Purple Swamphen	2	27	27	27	Towards	3	On Shore	3
WENDOUREE Lake	131	87.33333333	Purple Swamphen	2	50	21	21	Towards	2	On Shore	9
WENDOUREE Lake	131	87.33333333	Purple Swamphen	6	57	23	23	Towards	2	On Shore	5
WENDOUREE Lake	131	87.33333333	Purple Swamphen	2	50	36	28	Away	28	On Shore	3
WESTERN TREATMENT PLANT (Borrie)	0	0	Purple Swamphen	23	56	56	43	Away	43	On Shore	25
WESTERN TREATMENT PLANT (Borrie)	0	0	Purple Swamphen	5	96	87	68	Away	68	On Shore	6
WESTERN TREATMENT PLANT (Mid)	0	0	Purple Swamphen	28	197	95	83	Away	83	In Water	0.5
WESTERN TREATMENT PLANT (Mid)	0	0	Purple Swamphen	6	118	98	85	Away	85	On Shore	17
WESTERN TREATMENT PLANT (North)	0	0	Purple Swamphen	1	36	36	24	Away	24	On Shore	0.5
WESTERN TREATMENT PLANT (North)	0	0	Purple Swamphen	2	54	53	49	Away	49	On Shore	7
WESTERN TREATMENT PLANT (South)	0	0	Purple Swamphen	3	84	72	61	Away	61	On Shore	48
ALBERT Park	79	30.58064516	Silver Gull	2	35	35	31	Towards	4	On Shore	3
ALBERT Park	79	30.58064516	Silver Gull	1	88	88	88	Towards	1	On Shore	1
ALBERT Park	79	30.58064516	Silver Gull	2	178	178	178	Towards	1	On Shore	0.5
ALTONA Boatramp	35	70	Silver Gull	4	49	31	21	Away	21	On Shore	2
ALTONA Boatramp	35	70	Silver Gull	2	40	40	40	Towards	18	In Water	15
ALTONA Foreshore	4	48	Silver Gull	3	53	53	53	Towards	2	On Shore	5
BEGOLA Wetlands	5	7.692307692	Silver Gull	6	31	16	5	Both	2	In Water	3
BLUE WATERS Lake	30	17.14285714	Silver Gull	2	31	31	31	Towards	4	In Water	2
BUNDRAP Park	34	27.2	Silver Gull	26	12	10	10	Towards	2	On Shore	0.3
BUNDRAP Park	34	27.2	Silver Gull	4	29	29	29	Towards	1	On Shore	3
BUNDRAP Park	34	27.2	Silver Gull	7	80	80	80	Towards	7	On Shore	0.5
CAIRNLEA Lake	33	36	Silver Gull	1	57	57	57	Towards	7	On Shore	0.5
CAROLINE Lake	73	58.4	Silver Gull	2	33	14	14	Towards	5	In Water	20
CAROLINE Lake	73	58.4	Silver Gull	3	44	21	28	Towards	17	In Water	3
CHEETHAM Wetlands	0	0	Silver Gull	1	22	17	12	Away	12	In Water	3
CHERRY Lake	32	27.42857143	Silver Gull	3	54	10	10	Towards	2	On Shore	1
CHERRY Lake	32	27.42857143	Silver Gull	5	63	29	29	Towards	1	On Shore	3
COLBURG Lake	22	10.56	Silver Gull	2	55	30	4	Away	4	On Shore	0.5
COLBURG Lake	22	10.56	Silver Gull	16	31	11	8	Both	4	On Shore	6
COLBURG Lake	22	10.56	Silver Gull	4	31	12	11	Away	11	On Shore	8
COLBURG Lake	22	10.56	Silver Gull	17	45	38	35	Towards	3	On Shore	7
EDWARDES Lake	57	38	Silver Gull	8	11	8	3	Away	3	On Shore	3
EDWARDES Lake	57	38	Silver Gull	16	31	4	4	Away	4	On Shore	7
JACK ROPER Reserve	2	4	Silver Gull	27	28	28	28	Towards	3	On Shore	1
KARRAROCK Park	84	28	Silver Gull	18	50	38	18	Away	18	On Shore	0.3
KOROROIT Creek FORD	3	6	Silver Gull	2	41	41	28	Away	28	In Water	1
Lake VICTORIA (EMILY STREET)	1	2.4	Silver Gull	1	31	31	27	Towards	3	In Water	27
LAVERTON Creek (Mouth)	7	12	Silver Gull	1	47	47	47	Towards	5	In Water	10
LAVERTON Creek (Mouth)	7	12	Silver Gull	3	111	111	111	Towards	7	On Margin	0
LAVERTON Creek (Mouth)	7	12	Silver Gull	2	125	125	125	Towards	6	On Margin	0
LYSTERFEILD Lake	26	19.5	Silver Gull	2	33	19	7	Away	7	On Margin	0.2
MANNA GUM Waters	0	0	Silver Gull	3	27	27	23	Towards	8	On Shore	13
MO MORAN Reserve	14	42	Silver Gull	2	29	22	13	Towards	2	In Water	5
MO MORAN Reserve	14	42	Silver Gull	1	43	21	16	Away	16	On Shore	2
MORNINGTON CIVIC Reserve	22	26.4	Silver Gull	35	30	30	30	Towards	2	On Shore	3
NAMATJIRA Lake	34	40.8	Silver Gull	2	28	28	14	Away	14	In Water	22
ORNAMENTAL Lake	198	148.5	Silver Gull	2	19	14	10	Both	7	On Shore	6
ORNAMENTAL Lake	198	148.5	Silver Gull	1	49	47	36	Towards	6	In Water	36
POINT LONSDALE Reserve	1	2.4	Silver Gull	1	41	41	41	Towards	1.5	On Shore	1
QUEENS Park	70	105	Silver Gull	1	26	26	26	Towards	10	On Shore	1
QUEENS Park	70	105	Silver Gull	12	46	46	46	Towards	2	On Shore	5
RICKETTS POINT	44	37.71428571	Silver Gull	1	75	75	75	Towards	3	On Margin	0
RICKETTS POINT	44	37.71428571	Silver Gull	7	133	93	93	Towards	6	In Water	18
RIFLE RANGE South	5	2.307692308	Silver Gull	4	14	9	8	Away	8	On Shore	1
RUTHERFORD Inlet	4	16	Silver Gull	2	15	14	7	Away	7	On Shore	27
RUTHERFORD Inlet	4	16	Silver Gull	6	43	20	11	Away	11	On Shore	8
SANCTUARY Lakes	41	8.482758621	Silver Gull	40	49	7	5	Both	9	In Water	0.5
SANCTUARY Lakes	41	8.482758621	Silver Gull	80	35	15	10	Towards	0.5	On Shore	2
SANCTUARY Lakes	41	8.482758621	Silver Gull	8	20	20	20	Towards	2	On Shore	1.5
SANCTUARY Lakes	41	8.482758621	Silver Gull	25	30	30	30	Towards	2	On Shore	1
ST KILDA BOTANICAL Gardens	31	74.4	Silver Gull	1	25	16	10	Towards	2	On Shore	8
ST LEONARDS Lake	18	18	Silver Gull	7	65	65	65	Towards	6	On Shore	1
ST LEONARDS Lake	18	18	Silver Gull	8	71	71	71	Towards	3	On Shore	2
THE POINT	2	4.615384615	Silver Gull	1	75	30	7	Both	6	In Water	2
TOORADIN Foreshore	0	0	Silver Gull	3	10	10	10	Towards	2	On Shore	2
TOORADIN Foreshore	0	0	Silver Gull	2	33	22	15	Away	15	In Water	1
TOORADIN Foreshore	0	0	Silver Gull	4	43	43	43	Towards	4	On Shore	0.5
WARMIES	10	15	Silver Gull	24	23	23	23	Towards	2	On Shore	5
WATERDEGE WAY Lake	13	26	Silver Gull	2	35	34	34	Towards	4	On Shore	6
WENDOUREE Lake	131	87.33333333	Silver Gull	2	45	16	16	Towards	2	On Shore	7
WENDOUREE Lake	131	87.33333333	Silver Gull	5	55	21	21	Towards	1	On Shore	6
WENDOUREE Lake	131	87.33333333	Silver Gull	2	61	26	26	Towards	8	On Shore	2
WERRIBEE River (Mouth)	3	18	Silver Gull	6	18	13	8	Away	8	On Shore	20
WESTERN TREATMENT PLANT (Borrie)	0	0	Silver Gull	6	51	42	42	Away	42	On Shore	7
WESTERN TREATMENT PLANT (Borrie)	0	0	Silver Gull	32	107	69	65	Away	65	On Shore	3
WESTERN TREATMENT PLANT (Mid)	0	0	Silver Gull	2	55	38	17	Away	17	On Shore	2
WESTERN TREATMENT PLANT (Mid)	0	0	Silver Gull	1	65	62	57	Away	57	On Shore	0.5
YAMMERBOOK NATURE Reserve	0.8	2.4	Silver Gull	5	69	67	67	Towards	4	On Shore	0.5
